location,incubation,nutrient,N,P,top,cr.area,gpp.area,cr.nrr,gpp.nrr,chla_mgL,chla.nrr
ditch,GH,N,1,0,glass,-3.980558226,5.134065698,,1.346295532,,
ditch,GH,N,1,0,glass,-1.334289299,-5.753184339,,-1.508645744,,
ditch,GH,N,1,0,glass,-4.005376368,9.798866078,,2.56953658,,
ditch,GH,N,1,0,cellulose,-15.30963622,-1.918601183,2.06358809,,,
ditch,GH,N,1,0,cellulose,-17.8140281,-0.268621451,2.401155434,,,
ditch,GH,N,1,0,cellulose,-14.59013025,2.282423431,1.966605775,,,
ditch,GH,N,1,0,cellulose,-16.48056675,0.958461328,2.221417985,,,
ditch,GH,N,1,0,cellulose,-14.77012385,8.480621841,1.990867139,,,
ditch,GH,NP,1,1,glass,-0.585539146,3.746127543,,0.982339352,,
ditch,GH,NP,1,1,glass,-0.485301786,4.748084498,,1.245080472,,
ditch,GH,NP,1,1,glass,-2.017491848,3.951154103,,1.036103047,,
ditch,GH,NP,1,1,glass,-1.104389392,5.626924511,,1.475536888,,
ditch,GH,NP,1,1,glass,-0.598609597,5.362002106,,1.406066829,,
ditch,GH,NP,1,1,cellulose,-16.00050295,-0.375675973,2.156710116,,,
ditch,GH,NP,1,1,cellulose,-16.46170316,2.507449866,2.21887536,,,
ditch,GH,NP,1,1,cellulose,-16.34875234,8.698649883,2.203650702,,,
ditch,GH,NP,1,1,cellulose,-14.59201718,11.34231247,1.966860115,,,
ditch,GH,NP,1,1,cellulose,-14.18933731,5.32358558,1.912582837,,,
ditch,GH,P,0,1,glass,0.882552645,5.988303838,,1.570300649,,
ditch,GH,P,0,1,glass,-0.671897487,5.161864042,,1.353585034,,
ditch,GH,P,0,1,glass,0.364402601,4.380121339,,1.148590246,,
ditch,GH,P,0,1,glass,-1.483489647,8.351135229,,2.189901085,,
ditch,GH,P,0,1,glass,-1.925032103,8.083077379,,2.119608824,,
ditch,GH,P,0,1,cellulose,-8.036809949,12.45499841,1.08328278,,,
ditch,GH,P,0,1,cellulose,-7.173746931,6.313070223,0.966950391,,,
ditch,GH,P,0,1,cellulose,-6.224410251,7.089648785,0.838989162,,,
ditch,GH,P,0,1,cellulose,-6.667967136,6.956122517,0.898776259,,,
ditch,GH,P,0,1,cellulose,-10.94775016,17.4793737,1.475648834,,,
ditch,lab,NP,1,1,glass,-1.728814705,1.186737707,,0.409150625,,
ditch,lab,control,0,0,glass,-4.389758755,0.621155478,,,,
ditch,lab,P,0,1,glass,-2.732121478,1.484957698,,0.511967697,,
ditch,lab,N,1,0,cellulose,-10.90360768,9.732669153,0.988388705,,,
ditch,lab,control,0,0,cellulose,-8.184875677,0,,,,
ditch,lab,P,0,1,cellulose,-11.02030786,1.92304755,0.998967327,,,
ditch,lab,P,0,1,cellulose,-10.75857566,1.081340583,0.975241863,,,
ditch,lab,N,1,0,glass,-4.32210009,4.069454943,,1.403022779,,
ditch,lab,N,1,0,glass,-3.93150484,4.710198999,,1.623931603,,
ditch,lab,NP,1,1,cellulose,-12.69819822,3.961374208,1.151064498,,,
ditch,lab,control,0,0,glass,-4.956845191,4.365881431,,,,
ditch,lab,N,1,0,cellulose,-17.16834386,4.442691518,1.556273635,,,
ditch,lab,NP,1,1,cellulose,-14.607775,2.499859169,1.324163547,,,
ditch,lab,control,0,0,cellulose,-10.31122725,4.659254651,,,,
ditch,lab,P,0,1,glass,-3.168341814,2.908178475,,1.002650405,,
ditch,lab,NP,1,1,glass,-2.15212648,2.250220262,,0.775806669,,
ditch,lab,control,0,0,glass,-3.974904313,2.391539288,,,,
ditch,lab,NP,1,1,cellulose,-13.47938872,2.995743063,1.221877745,,,
ditch,lab,NP,1,1,glass,-3.211963848,3.631416528,,1.252000619,,
ditch,lab,control,0,0,glass,-5.567553662,2.312529992,,,,
ditch,lab,P,0,1,glass,-3.168341814,3.605611703,,1.24310391,,
ditch,lab,N,1,0,cellulose,-18.3488095,2.287603116,1.66328032,,,
ditch,lab,N,1,0,cellulose,-14.24833835,3.842417028,1.291581383,,,
ditch,lab,N,1,0,glass,-5.567553662,4.488523706,,1.547504786,,
ditch,lab,P,0,1,cellulose,-11.42977035,3.904325707,1.036084226,,,
ditch,lab,control,0,0,glass,-3.691806217,4.811347741,,,,
ditch,lab,NP,1,1,glass,-3.560940116,4.911631003,,1.693379157,,
ditch,lab,NP,1,1,glass,-4.084404519,5.943624005,,2.049178572,,
ditch,lab,P,0,1,glass,-3.410711174,4.807631934,,1.657523479,,
ditch,lab,P,0,1,cellulose,-9.313039393,3.08203118,0.844207093,,,
ditch,lab,control,0,0,cellulose,-12.65479875,5.511687649,,,,
ditch,lab,P,0,1,cellulose,-11.09241775,2.93774706,1.005503934,,,
ditch,lab,N,1,0,cellulose,-14.43417711,0,1.30842727,,,
ditch,lab,NP,1,1,cellulose,-12.39440192,1.33063219,1.123526013,,,
ditch,lab,N,1,0,glass,-4.061703257,1.870092296,,0.64475025,,
ditch,lab,NP,1,1,cellulose,-11.87360825,1.388957328,1.076317182,,,
ditch,lab,control,0,0,cellulose,-10.57162409,2.741259007,,,,
ditch,lab,N,1,0,glass,-4.235301146,2.991737915,,1.031459127,,
ditch,lab,control,0,0,cellulose,-13.43598925,4.22621179,,,,
ditch,lab,P,0,1,glass,-3.342829948,2.729362758,,0.941000251,,
